,game_id,event,site,date,round,white,white_elo,black,black_elo,result,eco,opening_name
92,2010_Anand_Topalov_game7,Anand - Topalov World Championship Match,Sofia BUL,2010-05-03,7,Viswanathan Anand,2787,Veselin Topalov,2805,1/2-1/2,E10,Queen's Pawn Game
93,2010_Anand_Topalov_game8,Anand - Topalov World Championship Match,Sofia BUL,2010-05-04,8,Veselin Topalov,2805,Viswanathan Anand,2787,1-0,D17,Queen's Gambit Declined Slav
94,2010_Anand_Topalov_game9,Anand - Topalov World Championship Match,Sofia BUL,2010-05-06,9,Viswanathan Anand,2787,Veselin Topalov,2805,1/2-1/2,E53,"Nimzo-Indian, 4.e3"
95,2010_Anand_Topalov_game10,Anand - Topalov World Championship Match,Sofia BUL,2010-05-07,10,Veselin Topalov,2805,Viswanathan Anand,2787,1/2-1/2,D86,"Grunfeld, Exchange"
96,2010_Anand_Topalov_game11,Anand - Topalov World Championship Match,Sofia BUL,2010-05-09,11,Viswanathan Anand,2787,Veselin Topalov,2805,1/2-1/2,A29,"English, Four Knights, Kingside Fianchetto"
97,2010_Anand_Topalov_game12,Anand - Topalov World Championship Match,Sofia BUL,2010-05-11,12,Veselin Topalov,2805,Viswanathan Anand,2787,0-1,D56,Queen's Gambit Declined
98,2012_Anand_Gelfand_game1,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-11,1,Viswanathan Anand,?,Boris Gelfand,?,1/2-1/2,D85,Grunfeld
99,2012_Anand_Gelfand_game2,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-12,2,Boris Gelfand,?,Viswanathan Anand,?,1/2-1/2,D45,Queen's Gambit Declined Semi-Slav
100,2012_Anand_Gelfand_game3,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-14,3,Viswanathan Anand,?,Boris Gelfand,?,1/2-1/2,D70,Neo-Grunfeld Defense
101,2012_Anand_Gelfand_game4,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-15,4,Boris Gelfand,?,Viswanathan Anand,?,1/2-1/2,D45,Queen's Gambit Declined Semi-Slav
102,2012_Anand_Gelfand_game5,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-17,5,Viswanathan Anand,?,Boris Gelfand,?,1/2-1/2,B33,Sicilian
103,2012_Anand_Gelfand_game6,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-18,6,Boris Gelfand,?,Viswanathan Anand,?,1/2-1/2,D45,Queen's Gambit Declined Semi-Slav
104,2012_Anand_Gelfand_game7,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-20,7,Boris Gelfand,?,Viswanathan Anand,?,1-0,D45,Queen's Gambit Declined Semi-Slav
105,2012_Anand_Gelfand_game8,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-21,8,Viswanathan Anand,?,Boris Gelfand,?,1-0,D70,Neo-Grunfeld Defense
106,2012_Anand_Gelfand_game9,Anand - Gelfand World Championship Match,Moscow RUS,2012-05-23,9,Boris Gelfand,?,Viswanathan Anand,?,1/2-1/2,E54,"Nimzo-Indian, 4.e3, Gligoric System"
